범위ID,범위1,범위2,범위3,범위4,범위5,범위6,범위7,범위8,범위9,범위10,범위11,범위12
1001,0,0,0,0,0,0,0,0,0,0,0,0
1002,1;0,2;0,0,0,0,0,0,0,0,0,0,0
1003,1;0,2;0,3;0,0,0,0,0,0,0,0,0,0
1004,1;1,1;0,2;0,1;-1,0,0,0,0,0,0,0,0
1005,0;1,1;0,0;-1,0,0,0,0,0,0,0,0,0
1006,1;1,2;1,3;1,1;0,2;0,3;0,1;-1,2;-1,3;-1,0,0,0
1007,1;0,2;0,3;0,4;0,0,0,0,0,0,0,0,0
1008,2;1,1;0,2;0,3;0,2;-1,0,0,0,0,0,0,0
1009,1;1,1;0,1;-1,0,0,0,0,0,0,0,0,0
1010,0;1,1;1,1;0,2;0,0;-1,1;-1,0,0,0,0,0,0
1011,-1;1,0;1,1;1,-1;0,1;0,-1;-1,0;-1,1;-1,0,0,0,0
1012,1;1,2;1,1;0,2;0,1;-1,2;-1,0,0,0,0,0,0
1013,-1;1,0;1,1;1,0,0,0,0,0,0,0,0,0
1014,2;1,1;0,2;0,2;-1,0,0,0,0,0,0,0,0
1015,-1;1,1;1,-1;-1,1;-1,0,0,0,0,0,0,0,0
1016,1;0,0,0,0,0,0,0,0,0,0,0,0
1017,0;1,1;1,1;0,0;-1,1;-1,0,0,0,0,0,0,0
1018,1;1,2;1,1;0,2;0,0,0,0,0,0,0,0,0
1019,1;1,2;1,1;-1,2;-1,0,0,0,0,0,0,0,0
1020,0;1,-1;0,1;0,0;-1,0,0,0,0,0,0,0,0
1021,3;1,1;0,2;0,3;0,3;-1,0,0,0,0,0,0,0
1022,-1;1,0;1,1;1,2;1,-1;0,1;0,2;0,3;0,-1;-1,0;-1,1;-1,2;-1
1023,2;1,3;1,1;0,2;0,3;0,2;-1,3;-1,0,0,0,0,0
1024,2;1,3;1,1;0,4;0,2;-1,3;-1,0,0,0,0,0,0
