카드ID,카드이름,사용 유닛,레어도,타입,속도,사용ID,소모스태미나,대미지,x이동량,y이동량,범위ID,효과,주는 피해 증가량,받는 피해 감소량,받는 피해 증가량,스태미나 회복량,카드사용시간
101,blaster_1,1,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
102,blaster_2,1,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
103,blaster_3,1,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
104,blaster_4,1,1,3,3,0,0,100,0,0,1002,0,0,0,0,0,7
105,blaster_5,1,1,3,3,0,20,200,0,0,1003,0,0,0,0,0,7
106,blaster_6,1,1,3,3,0,35,250,0,0,1004,0,0,0,0,0,7
107,blaster_7,1,2,1,1,0,10,0,0,0,1001,0,5,0,0,0,1.5
108,blaster_8,1,2,1,1,1,10,0,0,0,1001,0,10,0,0,0,1.5
109,blaster_9,1,2,2,2,0,0,0,2,0,1001,0,0,0,0,0,1.5
110,blaster_10,1,2,2,2,1,0,0,1,1,1001,0,0,0,0,0,1.5
111,blaster_11,1,2,3,3,0,15,15,0,0,1005,0,0,0,0,0,7
112,blaster_12,1,2,3,3,1,25,35,0,0,1003,0,0,0,0,0,7
113,blaster_13,1,2,3,3,1,40,20,0,0,1006,0,0,0,0,0,7
114,blaster_14,1,2,3,3,1,30,25,0,0,1008,0,0,0,0,0,7
115,blaster_15,1,2,3,3,1,40,35,0,0,1007,0,0,0,0,0,7
116,blaster_16,1,2,4,4,1,40,30,1,0,1004,0,0,0,0,0,8.5
201,chakram_1,2,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
202,chakram_2,2,1,1,1,0,10,0,0,0,1001,0,0,20,0,0,1.5
203,chakram_3,2,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
204,chakram_4,2,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
205,chakram_5,2,1,3,3,0,0,100,0,0,1009,0,0,0,0,0,7
206,chakram_6,2,1,3,3,0,45,300,0,0,1010,0,0,0,0,0,7
207,chakram_7,2,2,1,1,0,10,0,0,0,1001,0,5,0,0,0,1.5
208,chakram_8,2,2,1,1,1,0,0,0,0,1001,0,0,0,0,40,1.5
209,chakram_9,2,2,2,2,0,0,0,1,1,1001,0,0,0,0,0,1.5
210,chakram_10,2,2,2,2,1,0,0,2,2,1001,0,0,0,0,0,1.5
211,chakram_11,2,2,2,2,1,0,0,2,0,1001,0,0,0,0,0,1.5
212,chakram_12,2,2,3,3,0,35,20,0,0,1011,0,0,0,0,0,7
213,chakram_13,2,2,3,3,0,20,30,0,0,1003,0,0,0,0,0,7
214,chakram_14,2,2,3,3,1,50,40,0,0,1012,0,0,0,0,0,7
215,chakram_15,2,2,4,4,1,25,20,1,0,1013,0,0,0,0,0,8.5
216,chakram_16,2,2,4,4,1,20,25,1,0,1009,0,0,0,0,0,8.5
301,breacher_1,3,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
302,breacher_2,3,1,1,1,0,10,0,0,0,1001,0,5,0,0,0,1.5
303,breacher_3,3,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
304,breacher_4,3,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
305,breacher_5,3,1,3,3,0,30,300,0,0,1004,0,0,0,0,0,7
306,breacher_6,3,1,3,3,0,0,100,0,0,1002,0,0,0,0,0,7
307,breacher_7,3,2,1,1,1,10,0,0,0,1001,0,10,0,0,0,1.5
308,breacher_8,3,2,1,1,1,10,0,0,0,1001,0,0,20,0,0,1.5
309,breacher_9,3,2,2,2,0,0,0,2,0,1001,0,0,0,0,0,1.5
310,breacher_10,3,2,2,2,1,0,0,1,1,1001,0,0,0,0,0,1.5
311,breacher_11,3,2,2,2,1,0,0,3,0,1001,0,0,0,0,0,1.5
312,breacher_12,3,2,3,3,0,35,20,0,0,1011,0,0,0,0,0,7
313,breacher_13,3,2,3,3,0,25,30,0,0,1014,0,0,0,0,0,7
314,breacher_14,3,2,3,3,1,30,45,0,0,1015,0,0,0,0,0,7
315,breacher_15,3,2,4,4,1,35,35,2,0,1009,0,0,0,0,0,8.5
316,breacher_16,3,2,4,4,0,10,20,1,0,1016,0,0,0,0,0,8.5
401,scythe_1,4,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
402,scythe_2,4,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
403,scythe_3,4,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
404,scythe_4,4,1,3,3,0,35,200,0,0,1012,0,0,0,0,0,7
405,scythe_5,4,1,3,3,0,0,100,0,0,1002,0,0,0,0,0,7
406,scythe_6,4,1,4,4,0,30,150,0,0,1002,1,0,0,0,0,7
407,scythe_7,4,2,1,1,1,10,0,0,0,1001,0,10,0,0,0,1.5
408,scythe_8,4,2,2,2,0,0,0,1,1,1001,0,0,0,0,0,1.5
409,scythe_9,4,2,2,2,1,0,0,2,0,1001,0,0,0,0,0,1.5
410,scythe_10,4,2,3,3,1,40,30,0,0,1006,0,0,0,0,0,7
411,scythe_11,4,2,3,3,0,25,25,0,0,1003,0,0,0,0,0,7
412,scythe_12,4,2,3,3,1,35,30,0,0,1004,0,0,0,0,0,7
413,scythe_13,4,2,3,3,0,15,20,0,0,1017,0,0,0,0,0,7
414,scythe_14,4,2,4,4,1,15,0,1,0,1001,0,5,0,0,0,3
415,scythe_15,4,2,4,4,0,35,15,0,0,1007,1,0,0,0,0,7
416,scythe_16,4,2,4,4,1,30,25,0,0,1014,1,0,0,0,0,7
501,impactor_1,5,1,1,1,0,0,0,0,0,1001,0,0,0,0,20,1.5
502,impactor_2,5,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
503,impactor_3,5,1,2,2,0,0,0,1,0,1001,0,0,0,0,0,1.5
504,impactor_4,5,1,3,3,0,0,100,0,0,1016,0,0,0,0,0,7
